gene_id	midas_1EE_S42_Xp_blk	midas_1EM_S18_Xp_blk	midas_1XE_S43_Xp_blk	midas_1XM_S19_Xp_blk	midas_2EE_S44_Xp_blk	midas_2EM_S20_Xp_blk	midas_2XE_S45_Xp_blk	midas_2XM_S21_Xp_blk	midas_3EE_S46_Xp_blk	midas_3EM_S22_Xp_blk	midas_3XE_S47_Xp_blk	midas_3XM_S23_Xp_blk	midas_4EE_S48_Xp_blk	midas_4EM_S24_Xp_blk	midas_4XE_S49_Xp_blk	midas_4XM_S25_Xp_blk	midas_5EE_S50_Xp_blk	midas_5EM_S26_Xp_blk	midas_5XE_S51_Xp_blk	midas_5XM_S27_Xp_blk	midas_6EE_S52_Xp_blk	midas_6EM_S28_Xp_blk	midas_6XE_S53_Xp_blk	midas_6XM_S29_Xp_blk
SUPERPANG_01094	6076	6006	1568	20	7087	5528	873	314	7382	5531	4458	10	5330	5682	3496	56	6177	3676	2425	222	7435	5900	118	79
SUPERPANG_01095	11034	7775	2322	19	9849	7091	1738	402	11762	7065	7103	26	8556	7467	4948	69	9022	5185	3214	370	10633	8712	280	111
SUPERPANG_01096	22314	16055	5007	113	20991	14562	3512	942	24002	14597	13650	54	16876	15018	10133	151	18953	10620	5705	767	22426	17317	521	195
SUPERPANG_01097	4320	4702	1338	16	5852	4495	831	278	4751	4544	2785	26	4270	4657	3144	45	4232	3278	1317	196	5127	5106	124	65
SUPERPANG_01098	3208	5569	1300	36	5167	5162	553	359	4299	5145	2583	26	4058	5306	3638	33	4209	3523	1257	209	5230	4769	65	58
SUPERPANG_01099	946	1932	254	5	1240	1722	236	104	1326	1593	926	1	1281	1749	1098	18	1233	1044	428	70	1781	1243	58	18
SUPERPANG_01100	13270	10955	3606	80	14000	10201	1657	677	10160	10344	8533	54	11151	11017	7378	91	10264	7441	2818	470	10528	11399	193	126
SUPERPANG_01101	1392	1422	433	11	1790	1400	186	75	1336	1470	867	4	1458	1372	925	16	1292	957	366	79	1486	1474	18	22
SUPERPANG_01102	7659	7094	2198	68	8858	6486	790	425	7587	6575	4349	31	6551	7071	4586	57	6573	5005	2256	336	7963	7245	96	93
SUPERPANG_01103	6938	5457	1592	35	6605	4887	704	273	6833	5032	3962	30	5249	5219	3449	36	5510	3500	2065	267	6699	5599	93	62
SUPERPANG_01104	8678	5519	1593	22	7287	4882	986	305	9413	5250	5022	16	6310	5146	3367	29	6478	3711	2718	273	8236	5831	87	57
SUPERPANG_01105	8357	7135	1905	33	8419	6714	1052	457	10583	6511	5702	46	6435	7010	4614	66	8298	4727	3460	275	10285	7386	141	78
SUPERPANG_01106	5545	5044	1370	24	6756	4831	603	342	6059	4856	3371	39	4985	5213	3381	45	4601	3496	1680	189	7104	5102	93	82
SUPERPANG_01107	4792	5031	1240	28	5837	4771	595	305	6064	4722	3593	9	4583	4843	3478	27	4945	3530	2315	210	7720	5308	80	48
SUPERPANG_01108	3242	2680	750	21	3646	2540	422	117	3962	2314	2308	11	2968	2654	1818	11	3057	1858	2036	132	5042	2797	62	15
SUPERPANG_01109	18705	10370	3270	67	15128	9660	2004	693	21136	9749	9907	87	13284	10379	6739	92	14872	7113	8752	511	21672	11271	365	98
SUPERPANG_01110	9999	6760	2041	51	10012	6222	1385	485	10003	6371	6165	48	7165	6632	4393	61	8525	4782	3061	310	11094	7359	199	81
SUPERPANG_01111	8378	6450	1807	65	8690	6361	1366	450	9163	5995	5655	42	6408	6377	4310	59	7962	4497	2522	295	9797	6750	194	81
SUPERPANG_01112	2743	1625	491	0	2248	1549	305	70	3206	1535	1580	16	1943	1538	1138	5	2181	1104	834	96	2706	1925	27	12
SUPERPANG_01113	2595	1549	462	8	2112	1400	250	59	3034	1391	1386	9	1832	1485	1137	14	1985	972	702	59	2645	1659	39	15
